Year,Team,Conf,AdjEM,AdjO,AdjD,AdjT,SOSEM,SOSO,SOSD
2008,Samford,OVC,-14.41,96.9,111.4,54.6,-7.81,101.2,109.0
2008,Stony Brook,AE,-14.60,92.5,107.1,62.4,-6.84,100.3,107.1
2008,Florida A&M,MEAC,-14.71,94.3,109.0,65.6,-9.96,97.0,106.9
2008,Rice,CUSA,-14.74,86.7,101.5,65.2,+3.30,105.9,102.6
2008,Fairleigh Dickinson,NEC,-14.81,99.9,114.7,67.6,-4.79,100.8,105.6
2008,Long Beach St.,BW,-14.88,96.3,111.2,62.9,-3.03,102.2,105.2
2008,Canisius,MAAC,-15.08,95.0,110.1,64.0,-1.98,103.2,105.1
2008,Mississippi Valley St.,SWAC,-15.21,91.9,107.1,63.0,-11.00,96.7,107.7
2008,Florida Gulf Coast,ASun,-15.29,94.5,109.8,67.5,-5.51,99.9,105.4
2008,North Carolina A&T,MEAC,-15.38,96.1,111.5,67.3,-7.58,98.8,106.4
2008,Monmouth,NEC,-15.45,93.0,108.5,60.3,-5.08,101.1,106.2
2008,Southeast Missouri St.,OVC,-15.56,96.1,111.7,74.4,-8.03,100.9,108.9
2008,Kennesaw St.,ASun,-15.60,94.4,110.0,68.2,-8.52,98.1,106.6
2008,Princeton,Ivy,-15.68,93.2,108.9,58.8,-4.37,101.7,106.1
2008,Dartmouth,Ivy,-15.91,92.4,108.3,64.6,-7.02,100.0,107.1
2008,Southern,SWAC,-16.09,90.0,106.1,63.3,-11.33,96.7,108.0
2008,Jackson St.,SWAC,-16.17,93.0,109.2,70.0,-11.87,96.2,108.1
